system:index,B1,B2,B3,B4,B5,B6,B7,Class,.geo
0_0_0,0.18366279,0.17639937,0.181447,0.19632474,0.25282982,0.21981496,0.16195321,0.0,
0_1_0,0.20705459,0.20139487,0.18937267,0.20371954,0.22343507,0.21321043,0.16241571,0.0,
0_2_0,0.17779273,0.16482645,0.15991363,0.16048738,0.19632995,0.17403701,0.15367773,0.0,
0_3_0,0.33819273,0.32211226,0.33749923,0.3682149,0.4089624,0.3616083,0.23415086,0.0,
0_4_0,0.18142168,0.16984543,0.16081005,0.17048012,0.2146982,0.21159759,0.17528278,0.0,
0_5_0,0.1762597,0.16252074,0.14793769,0.14752343,0.15146777,0.13688236,0.113105245,0.0,
0_6_0,0.17528349,0.16119057,0.14614674,0.14665897,0.1595889,0.14586096,0.117346816,0.0,
0_7_0,0.21044317,0.20510338,0.19696471,0.2063266,0.21972662,0.21323785,0.1769984,0.0,
0_8_0,0.1470522,0.12900193,0.1249573,0.114606045,0.18974112,0.14908218,0.111293904,0.0,
0_9_0,0.20620424,0.19862673,0.19419008,0.20510893,0.22261949,0.20066692,0.16798978,0.0,
0_10_0,0.1749237,0.16364306,0.1612146,0.17547151,0.19909701,0.21824385,0.19304238,0.0,
0_11_0,0.19636261,0.18963304,0.18243688,0.18465069,0.21669205,0.20043111,0.1721716,0.0,
0_12_0,0.16283472,0.1480412,0.14018781,0.1403771,0.22881126,0.18734677,0.1493546,0.0,
0_13_0,0.18210916,0.16808693,0.15554988,0.15663287,0.20345554,0.20224744,0.17376612,0.0,
0_14_0,0.16517039,0.15011655,0.13437803,0.13882017,0.15014294,0.16894557,0.15456961,0.0,
0_15_0,0.17394005,0.16295904,0.1622952,0.16947202,0.22259316,0.22257662,0.18496011,0.0,
0_16_0,0.17305735,0.16163085,0.1604523,0.17688715,0.21734935,0.247689,0.23319553,0.0,
0_17_0,0.18385088,0.17079939,0.15814267,0.15771683,0.17743911,0.14557754,0.120824195,0.0,
0_18_0,0.18182153,0.17055425,0.16193062,0.17106031,0.19393632,0.21071675,0.18291804,0.0,
0_19_0,0.3280496,0.3727758,0.41329795,0.45456702,0.47917515,0.37539378,0.221803,0.0,
